iter	Passed	Remaining
848	25113	34047
849	25135	34007
850	25158	33968
851	25198	33952
852	25222	33915
853	25245	33877
854	25269	33840
855	25305	33819
856	25328	33780
857	25351	33743
858	25385	33719
859	25409	33681
860	25432	33643
861	25456	33606
862	25479	33569
863	25501	33530
864	25524	33491
865	25548	33454
866	25572	33417
867	25596	33381
868	25619	33343
869	25643	33306
870	25666	33269
871	25711	33259
872	25753	33246
873	25777	33209
874	25800	33172
875	25823	33134
876	25848	33098
877	25888	33082
878	25927	33065
879	25968	33051
880	26009	33035
881	26048	33018
882	26087	33000
883	26134	32993
884	26174	32977
885	26216	32962
886	26256	32946
887	26295	32928
888	26325	32899
889	26348	32861
890	26370	32822
891	26394	32786
892	26440	32776
893	26480	32760
894	26521	32744
895	26563	32730
896	26589	32695
897	26611	32656
898	26634	32618
899	26657	32580
900	26680	32543
901	26703	32505
902	26725	32467
903	26748	32429
904	26770	32391
905	26793	32353
906	26815	32314
907	26837	32275
908	26862	32240
909	26885	32203
910	26908	32166
911	26931	32128
912	26953	32090
913	26976	32052
914	26998	32015
915	27021	31977
916	27044	31940
917	27066	31902
918	27089	31865
919	27111	31826
920	27138	31794
921	27162	31758
922	27186	31722
923	27210	31686
924	27249	31667
925	27271	31629
926	27295	31594
927	27318	31557
928	27342	31521
929	27365	31485
930	27388	31447
931	27410	31410
932	27434	31374
933	27457	31337
934	27481	31302
935	27503	31264
936	27525	31227
937	27553	31195
938	27594	31180
939	27635	31163
940	27681	31152
941	27722	31136
942	27767	31124
943	27809	31108
944	27849	31091
945	27893	31078
946	27934	31060
947	27977	31047
948	28019	31031
949	28048	31001
950	28080	30974
951	28131	30968
952	28174	30953
953	28215	30936
954	28256	30919
955	28296	30901
956	28319	30863
957	28341	30826
958	28363	30789
959	28405	30772
960	28428	30735
961	28451	30699
962	28474	30662
963	28497	30626
964	28521	30590
965	28546	30555
966	28569	30519
967	28591	30482
968	28614	30445
969	28639	30410
970	28664	30376
971	28686	30339
972	28709	30302
973	28732	30266
974	28755	30230
975	28779	30194
976	28802	30158
977	28829	30126
978	28852	30090
979	28875	30053
980	28898	30017
981	28921	29981
982	28944	29945
983	28966	29908
984	28992	29875
985	29017	29841
986	29040	29805
987	29063	29769
988	29086	29733
989	29108	29696
990	29136	29665
991	29159	29629
992	29182	29593
993	29204	29557
994	29226	29520
995	29248	29483
996	29271	29447
997	29317	29435
998	29360	29418
999	29402	29402
1000	29448	29390
1001	29489	29372
1002	29533	29356
1003	29575	29339
